nodex,nodey,offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di,score
0,1,4.662,1.564,4.894,0.841,0.344,0.282,297,132,297,132,396,132,0
0,2,3.712,1.643,3.648,0.963,0.376,0.271,297,198,297,198,396,165,0
0,3,3.183,1.259,3.185,0.651,0.271,0.209,297,33,297,33,396,33,0
0,4,3.222,1.272,3.124,0.709,0.282,0.228,297,66,297,66,396,33,0
0,5,3.51,1.827,3.62,1.012,0.416,0.292,297,231,297,231,396,231,0
0,6,3.335,1.264,3.12,0.719,0.286,0.217,297,66,297,66,396,33,0
0,7,3.127,1.178,3.038,0.643,0.258,0.205,297,33,297,33,396,0,0
0,8,3.776,2.296,3.735,1.407,0.542,0.406,297,462,297,462,396,11,15
0,9,3.413,1.87,3.657,0.826,0.389,0.295,297,132,297,132,396,264,0
0,10,3.069,1.331,3.182,0.653,0.281,0.216,297,33,297,33,396,66,0
0,11,4.419,2.232,4.309,1.294,0.517,0.367,297,396,297,396,396,363,0
0,12,3.074,1.411,3.324,0.649,0.292,0.238,297,33,297,33,396,99,0
0,14,3.723,1.574,3.419,0.942,0.363,0.273,297,198,297,198,396,132,0
0,15,3.322,1.365,3.172,0.766,0.304,0.237,297,99,297,99,396,66,0
0,16,2.971,1.227,3.054,0.591,0.258,0.205,297,0,297,0,396,33,0
0,17,3.694,1.813,3.644,0.943,0.403,0.294,297,198,297,198,396,231,1
0,18,3.477,1.545,3.407,0.826,0.349,0.249,297,132,297,132,396,132,0
0,20,3.345,2.513,3.341,1.44,0.575,0.402,297,462,297,462,396,14,15
0,21,3.489,1.775,3.823,0.826,0.375,0.284,297,132,297,132,396,231,0
0,22,3.371,1.44,3.336,0.769,0.325,0.234,297,99,297,99,396,99,0
0,23,3.34,1.45,3.346,0.784,0.32,0.248,297,99,297,99,396,99,0
0,24,3.352,1.513,3.735,0.718,0.318,0.248,297,66,297,66,396,132,0
0,25,9.101,7.016,9.891,3.628,1.575,1.061,297,1650,297,1650,396,1881,0
0,26,3.592,1.547,3.397,0.839,0.352,0.255,297,132,297,132,396,132,0
0,27,3.251,1.241,3.249,0.657,0.273,0.206,297,33,297,33,396,33,0
0,28,6.742,4.603,7.238,2.526,1.062,0.751,297,1023,297,1023,396,1089,0
0,29,3.045,1.246,3.143,0.594,0.26,0.213,297,0,297,0,396,33,0
0,30,3.573,1.457,3.39,0.83,0.329,0.249,297,132,297,132,396,99,0
0,31,5.326,4.45,4.132,2.801,1.061,0.787,297,1188,297,1188,396,1056,0
0,32,4.249,2.335,4.174,1.36,0.532,0.349,297,396,297,396,396,396,0
0,33,3.589,2.048,3.906,1.137,0.469,0.336,297,297,297,297,396,297,0
0,34,3.469,1.371,3.222,0.779,0.312,0.238,297,99,297,99,396,66,0
0,35,3.238,1.553,3.377,0.885,0.352,0.26,297,165,297,165,396,132,0
0,36,3.873,2.125,4.018,0.959,0.438,0.438,297,198,297,198,396,297,0
0,37,3.639,1.646,3.585,0.887,0.369,0.28,297,165,297,165,396,165,0
0,38,3.503,1.721,3.827,0.856,0.394,0.26,297,132,297,132,396,198,0
0,39,4.087,2.008,3.679,1.172,0.445,0.36,297,297,297,297,396,231,0
0,40,3.342,1.404,3.204,0.783,0.336,0.235,297,99,297,99,396,66,0
0,41,3.621,1.816,3.752,0.85,0.403,0.281,297,132,297,132,396,231,0
0,42,4.086,2.676,4.002,1.649,0.641,0.443,297,594,297,594,396,495,0
