nodex,nodey,offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di,score
1,2,1.144,0.639,0.971,1.202,0.115,0.063,66,396,66,396,66,330,0
1,3,0.205,0.449,0.123,0.903,0.085,0.054,66,297,66,297,66,198,0
1,4,0.06,0.402,0.129,0.843,0.083,0.05,66,264,66,264,66,165,0
1,5,0.127,0.164,0.046,0.654,0.032,0.017,66,66,66,66,66,33,1
1,6,0.511,0.472,0.587,0.774,0.081,0.045,66,198,66,198,66,231,0
1,7,0.439,0.319,0.353,0.785,0.057,0.029,66,165,66,165,66,132,0
1,8,0.124,0.16,0.122,0.6,0.027,0.017,66,33,66,33,66,33,0
1,9,0.362,0.574,0.446,0.92,0.095,0.054,66,264,66,264,66,297,0
1,10,0.435,0.341,0.199,0.829,0.07,0.041,66,264,66,264,66,132,2
1,11,0.124,0.408,0.199,1.047,0.065,0.037,66,165,66,165,66,198,1
1,12,0.124,0.26,0.053,0.71,0.043,0.025,66,99,66,99,66,99,0
1,13,0.279,0.914,0.049,1.667,0.155,0.091,66,264,66,264,66,165,0
1,14,0.597,0.908,1.123,1.771,0.092,0.046,66,264,66,264,66,264,1
1,15,0.125,0.154,0.122,0.677,0.026,0.012,66,33,66,33,66,33,0
1,16,0.124,0.417,0.122,0.745
