offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di
2.153,1.951,1.857,1.627,0.525,0.421,297,264,297,264,198,165
2.259,2.421,2.105,1.716,0.523,0.449,297,264,297,264,198,297
1.801,2.405,1.377,1.65,0.584,0.373,297,165,297,165,198,198
3.225,1.788,0.291,1.442,0.471,0.313,297,99,297,99,198,99
0.94,1.844,0.727,2.033,0.459,0.301,297,264,297,264,198,165
0.912,2.089,1.283,1.509,0.431,0.285,297,198,297,198,198,165
4.229,17.098,5.648,4.341,0.958,0.56,297,693,297,693,198,726
0.883,2.211,1.701,1.941,0.58,0.363,297,330,297,330,198,231
0.347,3.691,0.534,14.669,0.933,0.633,297,297,297,297,198,297
0.367,2.073,0.915,1.681,0.562,0.229,297,66,297,66,198,99
1.299,2.12,0.911,1.754,0.493,0.345,297,264,297,264,198,231
0.349,1.753,0.344,1.426,0.433,0.256,297,165,297,165,198,165
0.332,5.651,0.375,1.251,0.322,0.199,297,66,297,66,198,33
0.354,1.929,2.256,3.936,0.418,0.29,297,132,297,132,198,198
0.35,9.145,0.343,1.283,0.384,0.259,297,99,297,99,198,165
0.55,1.933,1.043,1.544,0.42,0.295,297,165,297,165,198,165
0.39,11.996,0.341,1.454,0.393,10.601,297,165,297,165,198,132
0.586,1.774,0.612,1.71,0.452,0.315,297,264,297,264,198,132
0.48,2.331,0.733,1.751,0.502,0.36,297,264,297,264,198,264
0.647,2,0.911,1.545,0.513,0.351,297,33,297,33,198,66
0.635,11.23,0.627,1.675,0.535,7.704,297,66,297,66,198,66
0.721,1.604,0.548,1.342,0.382,0.243,297,132,297,132,198,132
0.735,2.376,0.579,1.973,0.517,0.287,297,231,297,231,198,198
0.342,1.823,0.399,1.592,0.488,0.326,297,33,297,33,198,33
15.72,1.821,2.792,1.634,0.46,0.257,297,132,297,132,198,165
0.339,21.176,0.33,1.217,0.269,0.185,297,0,297,0,198,33
0.444,2.342,0.536,1.764,0.649,0.258,297,99,297,99,198,132
2.152,3.473,1.3,4.412,0.864,0.711,297,429,297,429,198,330
0.385,2.163,0.648,1.382,0.507,0.377,297,0,297,0,198,99
1.675,2.666,1.014,4.019,0.814,0.559,297,297,297,297,198,99
1.201,20.651,0.45,11.94,12.206,0.623,297,396,297,396,198,132
0.425,2.635,0.413,1.647,0.727,0.425,297,132,297,132,198,132
0.935,2.251,0.934,9.789,0.54,0.334,297,330,297,330,198,264
0.75,1.668,0.718,1.526,0.414,0.275,297,198,297,198,198,132
0.491,1.703,0.367,1.089,0.483,0.323,297,33,297,33,198,33
0.934,2.896,1.499,2.236,0.565,0.314,297,198,297,198,198,264
0.343,1.323,0.527,1.637,0.3,0.223,297,33,297,33,198,66
0.385,1.128,0.392,1.466,0.268,0.185,297,33,297,33,198,0
0.348,1.991,0.339,1.587,0.425,0.285,297,165,297,165,198,198
0.549,1.829,0.565,1.755,0.44,0.259,297,165,297,165,198,132
0.369,2.292,0.505,1.513,0.6,0.402,297,99,297,99,198,99
0.359,1.643,6.057,1.963,0.38,0.273,297,33,297,33,198,33
0.289,1.853,0.282,1.535,0.488,0.313,297,132,297,132,198,99
0.32,1.703,0.278,1.538,0.464,0.313,297,132,297,132,198,66
0.277,1.226,0.272,1.064,0.331,0.233,297,0,297,0,198,0
0.283,3.832,0.508,1.644,0.576,0.356,297,165,297,165,198,198
0.3,2.298,0.285,1.752,0.59,0.383,297,198,297,198,198,198
0.277,1.512,0.284,1.288,0.35,0.26,297,99,297,99,198,99
0.353,1.882,0.385,1.236,0.391,0.269,297,99,297,99,198,198
0.338,1.978,0.374,1.605,0.43,0.272,297,132,297,132,198,231
0.391,2.54,0.336,1.388,0.428,1.258,297,99,297,99,198,33
0.773,1.281,0.531,1.048,0.3,0.199,297,33,297,33,198,66
0.338,1.057,0.329,1.072,0.269,0.188,297,33,297,33,198,0
0.571,2.413,0.502,2.137,0.677,0.459,297,198,297,198,198,99
0.602,2.414,0.362,1.695,0.596,0.402,297,66,297,66,198,132
0.637,2.118,1.202,1.69,0.424,0.345,297,132,297,132,198,231
1.055,2.71,0.529,1.895,0.412,0.242,297,132,297,132,198,132
0.37,1.382,0.333,1.322,0.343,0.228,297,132,297,132,198,66
0.343,2.955,0.533,1.941,0.764,0.475,297,198,297,198,198,198
0.395,1.969,0.644,1.768,0.528,0.332,297,165,297,165,198,132
0.523,7.498,0.281,1.433,6.28,0.216,297,99,297,99,198,99
0.463,1.138,0.354,1.45,0.254,0.171,297,0,297,0,198,0
0.542,1.927,0.337,1.953,0.394,0.291,297,165,297,165,198,132
0.6,13.381,0.404,4.363,0.452,0.312,297,99,297,99,198,66
3.265,2.474,1.833,1.823,0.671,0.46,297,198,297,198,198,198
0.661,4.54,0.396,6.245,0.38,0.467,297,99,297,99,198,132
0.525,1.624,0.571,1.332,0.418,0.202,297,66,297,66,198,66
0.343,1.011,0.328,0.936,0.251,0.17,297,0,297,0,198,0
0.472,1.76,0.564,1.224,0.403,0.296,297,33,297,33,198,66
0.521,7.447,0.365,2.114,0.46,0.285,297,165,297,165,198,264
0.347,1.88,0.371,7.877,0.569,0.374,297,99,297,99,198,66
0.432,3.486,0.364,2.66,0.904,0.605,297,297,297,297,198,264
0.721,1.056,0.481,1.267,0.27,0.184,297,33,297,33,198,0
0.554,2.523,0.525,1.621,1.233,0.254,297,165,297,165,198,99
0.356,1.66,0.336,1.434,0.373,0.228,297,132,297,132,198,99
0.346,2.137,0.334,1.542,0.47,0.405,297,132,297,132,198,66
0.671,2.171,0.357,1.96,0.597,0.433,297,132,297,132,198,66
0.356,2.035,0.356,1.614,0.518,0.348,297,33,297,33,198,66
0.361,2.081,0.35,1.82,0.568,0.372,297,99,297,99,198,66
0.36,3.156,0.378,2.105,0.761,0.55,297,165,297,165,198,231
0.637,5.115,0.354,3.245,0.576,3.405,297,99,297,99,198,66
0.486,1.476,0.34,0.99,0.33,0.323,297,0,297,0,198,33
0.37,1.174,0.408,1.004,0.404,0.171,297,0,297,0,198,0
0.554,1.476,0.675,1.567,0.332,0.212,297,66,297,66,198,99
0.337,1.066,0.357,1.074,0.3,0.175,297,0,297,0,198,0
0.562,1.54,0.383,1.606,0.457,0.283,297,33,297,33,198,33
0.348,1.131,0.329,1.463,0.255,0.17,297,0,297,0,198,0
0.337,1.562,0.353,0.995,0.543,0.322,297,0,297,0,198,33
0.374,1.668,0.406,1.563,0.481,0.189,297,33,297,33,198,33
0.344,11.415,0.408,0.939,0.541,9.976,297,0,297,0,198,0
0.347,9.52,0.327,0.922,0.258,0.171,297,0,297,0,198,0
0.351,2.119,4.107,2.252,0.446,0.35,297,99,297,99,198,132
1.028,1.919,0.752,2.002,0.521,0.348,297,66,297,66,198,33
0.556,1.418,0.39,1.498,0.394,0.171,297,0,297,0,198,0
0.353,1.824,0.39,1.592,0.464,0.282,297,0,297,0,198,33
0.405,1.85,0.863,1.55,0.497,0.334,297,33,297,33,198,33
2.772,1.319,0.704,1.24,0.285,0.203,297,0,297,0,198,66
0.57,1.939,0.378,19.71,0.512,0.324,297,0,297,0,198,33
0.368,1.055,0.36,0.997,0.254,0.197,297,0,297,0,198,0
0.339,2.196,0.33,1.28,0.315,0.728,297,66,297,66,198,33
0.642,1.434,0.448,2.082,0.401,0.2,297,66,297,66,198,33
0.338,1.558,0.363,0.936,0.446,0.296,297,0,297,0,198,0
0.355,1.89,0.351,1.683,0.512,0.376,297,66,297,66,198,33
0.354,1.8,0.35,1.543,0.477,0.322,297,33,297,33,198,33
0.369,1.65,0.355,1.53,0.273,0.184,297,33,297,33,198,0
0.342,1.18,0.332,1.093,0.288,0.188,297,33,297,33,198,33
0.518,1.812,0.352,1.551,0.487,0.322,297,33,297,33,198,33
0.349,1.298,0.636,3.736,0.365,0.199,297,66,297,66,198,33
0.36,1.008,0.329,0.958,0.25,0.17,297,0,297,0,198,0
0.331,1.007,0.327,0.985,0.248,0.169,297,0,297,0,198,0
0.355,1.067,0.326,1.033,0.25,0.17,297,0,297,0,198,0
0.476,1.153,0.331,1.06,0.316,0.172,297,0,297,0,198,0
0.34,1.6,0.329,1.577,0.432,0.298,297,0,297,0,198,0
0.368,1.571,0.356,1.362,0.426,0.296,297,0,297,0,198,0
0.351,1.692,0.387,1.359,0.528,0.303,297,0,297,0,198,0
0.372,1.806,0.365,1.553,0.481,0.323,297,33,297,33,198,33
0.354,1.576,0.355,1.361,0.424,0.298,297,0,297,0,198,0
0.376,3.435,0.39,2.384,0.915,0.548,264,264,264,264,165,297
0.367,2.672,0.37,1.96,0.669,0.446,264,165,264,165,165,198
0.349,2.036,0.347,1.678,0.529,0.371,264,99,264,99,165,99
0.358,2.667,0.357,3.131,0.733,0.497,264,264,264,264,165,165
0.373,2.006,0.367,1.711,0.524,0.371,264,198,264,198,165,165
0.318,14.412,0.303,6.426,1.249,10.421,264,693,264,693,165,726
0.726,2.801,0.368,2.177,0.867,0.608,264,330,264,330,165,231
0.381,4.22,0.386,2.179,0.697,0.482,264,297,264,297,165,297
0.285,3.887,0.292,1.151,0.405,0.291,264,66,264,66,165,99
0.296,2.894,0.669,1.853,0.659,0.777,264,264,264,264,165,231
0.411,1.61,0.358,1.472,0.38,0.24,264,165,264,165,165,165
0.408,1.045,0.368,1.057,0.266,0.183,264,66,264,66,165,33
0.341,3.139,0.338,1.387,1.7,0.352,264,132,264,132,165,198
0.299,4.29,0.352,1.356,0.72,0.53,264,99,264,99,165,165
0.294,2.746,0.293,1.789,0.601,0.901,264,165,264,165,165,165
0.359,2.565,0.354,6.165,0.733,0.504,264,165,264,165,165,132
0.424,2.489,0.407,2.374,0.7,0.511,264,264,264,264,165,132
0.375,6.955,0.366,18.091,3.742,1.695,264,264,264,264,165,264
0.383,1.34,1.362,1.511,0.341,0.183,264,33,264,33,165,66
0.345,2.068,0.331,1.208,1.086,0.187,264,66,264,66,165,66
0.361,2.299,0.354,1.82,0.598,0.396,264,132,264,132,165,132
0.362,2.296,0.357,1.825,0.755,0.32,264,231,264,231,165,198
0.359,1.592,0.356,1.41,0.432,0.295,264,33,264,33,165,33
0.35,2.48,0.385,2.409,0.624,0.423,264,132,264,132,165,165
0.382,1.209,0.352,9.295,0.304,0.169,264,0,264,0,165,33
0.355,1.555,0.336,1.433,0.33,0.239,264,99,264,99,165,132
0.359,3.218,0.349,2.187,1.01,0.676,264,429,264,429,165,330
0.364,1.94,0.371,1.24,0.455,0.345,264,0,264,0,165,99
0.364,2.272,0.37,2.512,0.765,0.298,264,297,264,297,165,99
0.362,1.759,0.341,2.211,0.525,0.337,264,396,264,396,165,132
0.557,1.584,0.353,1.788,0.348,0.229,264,132,264,132,165,132
0.433,4.024,0.344,2.679,1.614,0.552,264,330,264,330,165,264
0.375,6.677,0.358,2.102,0.645,4.748,264,198,264,198,165,132
0.345,3.102,0.334,7.347,2.339,0.169,264,33,264,33,165,33
1.035,7.65,0.438,2.22,0.515,0.296,264,198,264,198,165,264
0.368,1.408,0.333,1.032,0.298,0.208,264,33,264,33,165,66
0.497,10.102,0.363,1.356,0.415,0.362,264,33,264,33,165,0
0.366,3.968,0.358,1.959,0.462,0.282,264,165,264,165,165,198
0.354,1.522,0.457,1.498,0.362,0.24,264,165,264,165,165,132
2.219,1.323,0.36,2.692,0.314,0.211,264,99,264,99,165,99
0.366,1.066,0.331,0.951,0.256,0.183,264,33,264,33,165,33
0.385,1.367,0.379,1.55,0.355,0.212,264,132,264,132,165,99
0.345,1.884,0.332,2.551,0.324,0.39,264,132,264,132,165,66
0.416,1.379,0.367,2.571,0.385,0.27,264,0,264,0,165,0
0.36,2.785,0.36,1.974,0.682,0.426,264,165,264,165,165,198
0.364,4.07,2.446,2.123,0.705,0.456,264,198,264,198,165,198
0.391,1.311,0.374,1.304,0.314,0.197,264,99,264,99,165,99
0.336,2.741,0.336,1.406,0.627,0.455,264,99,264,99,165,198
0.421,2.819,0.363,1.822,0.678,0.447,264,132,264,132,165,231
0.358,1.7,0.352,1.68,0.483,0.353,264,99,264,99,165,33
