offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di
2.067,1.36,1.774,1.013,0.36,0.182,66,396,66,396,66,330
0.452,0.985,0.304,0.811,0.261,0.157,66,297,66,297,66,198
0.171,0.873,0.326,0.772,0.232,0.146,66,264,66,264,66,165
0.3,0.369,0.167,0.342,0.1,0.051,66,66,66,66,66,33
0.966,0.985,1.103,0.609,0.235,0.134,66,198,66,198,66,231
0.848,0.681,0.734,0.556,0.18,0.086,66,165,66,165,66,132
0.331,0.42,0.314,0.29,0.1,0.057,66,33,66,33,66,33
0.807,1.377,0.967,0.854,0.334,0.181,66,264,66,264,66,297
0.961,0.883,0.503,0.853,0.258,0.144,66,264,66,264,66,132
0.358,1,0.505,0.627,0.237,0.128,66,165,66,165,66,198
0.346,0.652,0.194,0.502,0.167,0.084,66,99,66,99,66,99
0.51,1.074,0.197,0.856,0.278,0.154,66,264,66,264,66,165
0.514,1.275,0.969,0.861,0.324,0.158,66,264,66,264,66,264
0.347,0.393,0.349,0.319,0.099,0.044,66,33,66,33,66,33
0.349,0.947,0.356,0.701,0.251,0.141,66,198,66,198,66,165
2.699,3.798,2.68,1.866,0.746,0.402,66,693,66,693,66,726
0.203,0.817,0.348,0.851,0.244,0.168,66,264,66,264,66,99
0.352,1.328,0.21,1.01,0.422,0.196,66,330,66,330,66,231
0.199,1.429,0.354,0.957,0.358,0.196,66,297,66,297,66,297
0.193,0.64,0.501,0.396,0.151,0.085,66,66,66,66,66,99
0.506,1.196,0.506,0.851,0.294,0.196,66,264,66,264,66,231
0.345,0.781,0.831,0.98,0.178,0.099,66,99,66,99,66,132
0.224,1.036,0.228,0.727,0.259,0.13,66,165,66,165,66,165
0.222,0.489,0.221,0.458,0.133,0.067,66,66,66,66,66,33
0.228,1.144,0.414,0.638,0.261,0.147,66,132,66,132,66,198
0.221,0.984,0.227,0.547,0.223,0.115,66,99,66,99,66,165
0.41,1.055,0.593,0.73,0.26,0.147,66,165,66,165,66,165
0.224,0.929,0.229,0.726,0.241,0.132,66,165,66,165,66,132
0.411,0.873,0.408,0.46,0.175,0.099,66,66,66,66,66,99
0.502,1.023,0.535,1.052,0.271,0.16,66,264,66,264,66,132
0.326,1.55,0.716,1.041,0.328,0.249,66,264,66,264,66,264
0.542,0.719,0.564,0.416,0.167,0.081,66,33,66,33,66,66
0.542,0.734,0.514,0.564,0.192,0.081,66,66,66,66,66,66
0.938,1.54,1.152,1.214,0.402,0.238,66,264,66,264,66,198
0.489,1.098,0.493,0.777,0.278,0.139,66,132,66,132,66,132
0.731,1.485,0.508,1.104,0.388,0.201,66,231,66,231,66,198
0.288,0.571,0.269,0.499,0.143,0.061,66,33,66,33,66,33
0.31,1.241,0.517,0.78,0.296,0.159,66,132,66,132,66,165
0.27,1.091,0.497,0.666,0.251,0.159,66,99,66,99,66,132
0.271,0.555,0.277,0.453,0.144,0.061,66,33,66,33,66,33
1.821,2.293,1.394,1.757,0.607,0.354,66,429,66,429,66,330
0.496,0.916,0.498,0.666,0.228,0.12,66,99,66,99,66,99
0.505,0.878,0.493,0.559,0.205,0.1,66,66,66,66,66,99
0.72,1.164,0.716,1.319,0.357,0.238,66,297,66,297,66,99
0.286,1.402,0.278,1.645,0.446,0.279,66,396,66,396,66,132
0.273,1.092,0.28,0.777,0.272,0.14,66,132,66,132,66,132
